Date,Configuration,Customer Postcode,Store Postcode,Retail Price,Screen Size (Inches),Battery Life (Hours),RAM (GB),Processor Speeds (GHz),Integrated Wireless?,HD Size (GB),Bundled Applications?,CustomerStoreDistance
1/1/2008 0:01,163,EC4V 5BH,SE1 2BN,455,15,5,1,2,Yes,80,Yes,2405.873022
1/1/2008 0:02,320,SW4 0JL,SW12 9HD,545,15,6,1,2,No,300,No,2507.558574
1/1/2008 0:04,23,EC3V 1LR,E2 0RY,515,15,4,1,2,Yes,300,Yes,3194.001409
1/1/2008 0:04,169,SW1P 3AU,SE1 2BN,395,15,5,1,2,No,40,Yes,4155.202281
1/1/2008 0:06,365,EC4V 4EG,SW1V 4QQ,585,15,6,2,2,No,120,Yes,3729.298057
1/1/2008 0:12,309,W1B 5PX,SW1V 4QQ,555,15,6,1,2,Yes,120,Yes,2544.784863
1/1/2008 0:14,75,SE25 4LX,SE8 3JD,465,15,4,2,2,No,80,Yes,9993.157709
1/1/2008 0:17,346,N7 6AR,E2 0RY,450,15,6,2,1.5,No,40,No,6105.9566
1/1/2008 0:24,70,W3 7JT,SW18 1NN,455,15,4,2,2,Yes,120,No,6484.129086
1/1/2008 0:56,351,SW8 1RB,SW1V 4QQ,620,15,6,2,1.5,No,300,Yes,1702.322237
1/1/2008 1:00,209,SE26 5HB,CR7 8LE,465,15,5,2,2,Yes,40,Yes,4440.688235
1/1/2008 1:03,359,W1T 1DG,NW5 2QH,665,15,6,2,2,Yes,300,Yes,3674.39478
1/1/2008 1:05,300,TW9 3AH,W4 3PH,440,15,6,1,1.5,No,80,No,694.3486156
1/1/2008 1:07,363,N1 9DU,SW1V 4QQ,565,15,6,2,2,No,80,Yes,4872.459133
1/1/2008 1:15,22,N1 8LU,E2 0RY,405,15,4,1,2,Yes,120,No,3813.928421
1/1/2008 1:18,53,E14 0BB,SE8 3JD,480,15,4,2,1.5,Yes,120,Yes,3021.243453
1/1/2008 1:29,310,WC1X 0AE,SW1P 3AU,505,15,6,1,2,Yes,120,No,2801.779791
1/1/2008 1:30,314,N1 9BL,SE1 2BN,425,15,6,1,2,No,40,No,4931.869625
1/1/2008 1:32,320,WC2E 8RF,SE1 2BN,545,15,6,1,2,No,300,No,3903.211626
1/1/2008 1:32,299,SE1 3XB,SW1P 3AU,490,15,6,1,1.5,No,80,Yes,3354.730392
1/1/2008 1:40,205,EC3N 2AE,SE1 2BN,480,15,5,2,1.5,No,120,Yes,1381.413769
1/1/2008 1:42,216,E6 3BD,E2 0RY,535,15,5,2,2,Yes,300,No,6296.028669
1/1/2008 1:42,203,W1T 1HH,NW5 2QH,460,15,5,2,1.5,No,80,Yes,3860.408916
1/1/2008 1:53,209,SE26 4BG,CR7 8LE,465,15,5,2,2,Yes,40,Yes,4401.529393
1/1/2008 2:00,368,EC1R 0DY,NW5 2QH,595,15,6,2,2,No,300,No,3778.266401
1/1/2008 2:00,293,E6 1PW,SE8 3JD,530,15,6,1,1.5,Yes,120,Yes,6938.131881
1/1/2008 2:22,352,E2 0JD,SE8 3JD,570,15,6,2,1.5,No,300,No,5312.750888
1/1/2008 2:26,215,SE10 9NW,SE1 2BN,585,15,5,2,2,Yes,300,Yes,4886.874052
1/1/2008 2:29,347,SE1 9AA,SW1P 3AU,540,15,6,2,1.5,No,80,Yes,2740.004562
1/1/2008 2:31,340,W1H 1DG,SW1P 3AU,510,15,6,2,1.5,Yes,80,No,3123.32275
1/1/2008 2:43,151,EC4V 5BH,SW1V 4QQ,510,15,5,1,1.5,Yes,300,Yes,4030.349116
